id,first_name,last_name,is_retired,previous_employers,marital_status,relatives
140,Kerrin,Turne,1,"Turne,Turne,Turne",2,"{spouse: line.last_name, daughter: line.first_name}"
141,Jaime,Rad,1,"Rad,Rad,Rad",1,"{spouse: line.last_name, daughter: line.first_name}"
142,Amelia,Hathaway,1,"Hathaway,Hathaway,Hathaway",2,"{spouse: line.last_name, daughter: line.first_name}"
143,Alyssa,Devlen,1,"Devlen,Devlen,Devlen",0,"{spouse: line.last_name, daughter: line.first_name}"
144,Belva,Cohdwell,0,"Cohdwell,Cohdwell,Cohdwell",1,"{spouse: line.last_name, daughter: line.first_name}"
145,Hannis,Wilona,0,"Wilona,Wilona,Wilona",0,"{spouse: line.last_name, daughter: line.first_name}"
146,Bertine,Borrell,0,"Borrell,Borrell,Borrell",1,"{spouse: line.last_name, daughter: line.first_name}"
147,Kittie,Bethany,0,"Bethany,Bethany,Bethany",1,"{spouse: line.last_name, daughter: line.first_name}"
148,Caritta,Duwalt,0,"Duwalt,Duwalt,Duwalt",3,"{spouse: line.last_name, daughter: line.first_name}"
149,Dawn,Podvin,0,"Podvin,Podvin,Podvin",1,"{spouse: line.last_name, daughter: line.first_name}"
150,Riannon,Sheng,1,"Sheng,Sheng,Sheng",0,"{spouse: line.last_name, daughter: line.first_name}"
151,Leona,Bultman,0,"Bultman,Bultman,Bultman",0,"{spouse: line.last_name, daughter: line.first_name}"
152,Konstance,Thunell,0,"Thunell,Thunell,Thunell",3,"{spouse: line.last_name, daughter: line.first_name}"
153,Elbertina,Jillane,1,"Jillane,Jillane,Jillane",2,"{spouse: line.last_name, daughter: line.first_name}"
154,Lesly,Greyson,0,"Greyson,Greyson,Greyson",1,"{spouse: line.last_name, daughter: line.first_name}"
155,Carmela,Simmonds,1,"Simmonds,Simmonds,Simmonds",1,"{spouse: line.last_name, daughter: line.first_name}"
156,Joelly,Schonfeld,0,"Schonfeld,Schonfeld,Schonfeld",2,"{spouse: line.last_name, daughter: line.first_name}"
157,Gwenneth,Claudine,1,"Claudine,Claudine,Claudine",2,"{spouse: line.last_name, daughter: line.first_name}"
158,Petronia,Fiester,1,"Fiester,Fiester,Fiester",1,"{spouse: line.last_name, daughter: line.first_name}"
159,Nita,Rosette,1,"Rosette,Rosette,Rosette",0,"{spouse: line.last_name, daughter: line.first_name}"
160,Beatriz,Pauly,0,"Pauly,Pauly,Pauly",3,"{spouse: line.last_name, daughter: line.first_name}"
161,Rhea,Trey,1,"Trey,Trey,Trey",0,"{spouse: line.last_name, daughter: line.first_name}"
162,Rosaline,Meter,1,"Meter,Meter,Meter",2,"{spouse: line.last_name, daughter: line.first_name}"
163,Micheline,Pulsifer,1,"Pulsifer,Pulsifer,Pulsifer",0,"{spouse: line.last_name, daughter: line.first_name}"
164,Esmeralda,Mullane,1,"Mullane,Mullane,Mullane",1,"{spouse: line.last_name, daughter: line.first_name}"
165,Rhea,Elisha,1,"Elisha,Elisha,Elisha",0,"{spouse: line.last_name, daughter: line.first_name}"
166,Janenna,Greyson,0,"Greyson,Greyson,Greyson",1,"{spouse: line.last_name, daughter: line.first_name}"
167,Kittie,Gale,0,"Gale,Gale,Gale",0,"{spouse: line.last_name, daughter: line.first_name}"
168,Abbie,Hertzfeld,1,"Hertzfeld,Hertzfeld,Hertzfeld",3,"{spouse: line.last_name, daughter: line.first_name}"
169,Max,Kat,0,"Kat,Kat,Kat",2,"{spouse: line.last_name, daughter: line.first_name}"
170,Drucie,Lane,1,"Lane,Lane,Lane",2,"{spouse: line.last_name, daughter: line.first_name}"
171,Susette,Elvyn,0,"Elvyn,Elvyn,Elvyn",2,"{spouse: line.last_name, daughter: line.first_name}"
172,Janey,Vastah,0,"Vastah,Vastah,Vastah",0,"{spouse: line.last_name, daughter: line.first_name}"
173,Shaylyn,Philoo,0,"Philoo,Philoo,Philoo",3,"{spouse: line.last_name, daughter: line.first_name}"
174,Carolina,Olin,0,"Olin,Olin,Olin",0,"{spouse: line.last_name, daughter: line.first_name}"
175,Starla,Brieta,1,"Brieta,Brieta,Brieta",0,"{spouse: line.last_name, daughter: line.first_name}"
176,Anallese,Alcott,1,"Alcott,Alcott,Alcott",3,"{spouse: line.last_name, daughter: line.first_name}"
177,Jean,Merell,1,"Merell,Merell,Merell",3,"{spouse: line.last_name, daughter: line.first_name}"
178,Aurore,Moseley,1,"Moseley,Moseley,Moseley",0,"{spouse: line.last_name, daughter: line.first_name}"
179,Deloria,Holbrook,0,"Holbrook,Holbrook,Holbrook",3,"{spouse: line.last_name, daughter: line.first_name}"
180,Emilia,Odysseus,1,"Odysseus,Odysseus,Odysseus",1,"{spouse: line.last_name, daughter: line.first_name}"
181,Ann-Marie,Cassius,0,"Cassius,Cassius,Cassius",1,"{spouse: line.last_name, daughter: line.first_name}"
182,Evaleen,Millda,1,"Millda,Millda,Millda",0,"{spouse: line.last_name, daughter: line.first_name}"
183,Hannis,Elvyn,0,"Elvyn,Elvyn,Elvyn",1,"{spouse: line.last_name, daughter: line.first_name}"
184,Vevay,Kenney,0,"Kenney,Kenney,Kenney",2,"{spouse: line.last_name, daughter: line.first_name}"
185,Larine,Martguerita,1,"Martguerita,Martguerita,Martguerita",3,"{spouse: line.last_name, daughter: line.first_name}"
186,Eve,Cullin,0,"Cullin,Cullin,Cullin",0,"{spouse: line.last_name, daughter: line.first_name}"
187,Rosanne,Fabiola,0,"Fabiola,Fabiola,Fabiola",0,"{spouse: line.last_name, daughter: line.first_name}"
188,Margarette,Bultman,0,"Bultman,Bultman,Bultman",0,"{spouse: line.last_name, daughter: line.first_name}"
189,Gerianna,My,1,"My,My,My",3,"{spouse: line.last_name, daughter: line.first_name}"
190,Lucille,Albertine,0,"Albertine,Albertine,Albertine",2,"{spouse: line.last_name, daughter: line.first_name}"
191,Jessamyn,Nerita,0,"Nerita,Nerita,Nerita",1,"{spouse: line.last_name, daughter: line.first_name}"
192,Renie,Maribeth,0,"Maribeth,Maribeth,Maribeth",3,"{spouse: line.last_name, daughter: line.first_name}"
193,Jacquetta,Cleavland,1,"Cleavland,Cleavland,Cleavland",3,"{spouse: line.last_name, daughter: line.first_name}"
194,Selma,Jotham,1,"Jotham,Jotham,Jotham",3,"{spouse: line.last_name, daughter: line.first_name}"
195,Violet,Tillford,1,"Tillford,Tillford,Tillford",0,"{spouse: line.last_name, daughter: line.first_name}"
196,Ketti,Thomasina,1,"Thomasina,Thomasina,Thomasina",0,"{spouse: line.last_name, daughter: line.first_name}"
197,Florencia,Claudine,1,"Claudine,Claudine,Claudine",0,"{spouse: line.last_name, daughter: line.first_name}"
198,Brooks,Mich,0,"Mich,Mich,Mich",1,"{spouse: line.last_name, daughter: line.first_name}"
199,Yvonne,Lindemann,0,"Lindemann,Lindemann,Lindemann",0,"{spouse: line.last_name, daughter: line.first_name}"
200,Joy,Larochelle,1,"Larochelle,Larochelle,Larochelle",1,"{spouse: line.last_name, daughter: line.first_name}"
201,Gui,Grobe,1,"Grobe,Grobe,Grobe",0,"{spouse: line.last_name, daughter: line.first_name}"
202,Teddie,Alejoa,1,"Alejoa,Alejoa,Alejoa",2,"{spouse: line.last_name, daughter: line.first_name}"
203,Jolyn,Astra,0,"Astra,Astra,Astra",2,"{spouse: line.last_name, daughter: line.first_name}"
204,June,Guthrie,0,"Guthrie,Guthrie,Guthrie",1,"{spouse: line.last_name, daughter: line.first_name}"
205,Wendi,Camden,0,"Camden,Camden,Camden",0,"{spouse: line.last_name, daughter: line.first_name}"
206,Sallie,Weaks,1,"Weaks,Weaks,Weaks",3,"{spouse: line.last_name, daughter: line.first_name}"
207,Jere,Hartnett,0,"Hartnett,Hartnett,Hartnett",2,"{spouse: line.last_name, daughter: line.first_name}"
208,Margette,Grayce,0,"Grayce,Grayce,Grayce",1,"{spouse: line.last_name, daughter: line.first_name}"
209,Felice,Wolfgram,1,"Wolfgram,Wolfgram,Wolfgram",1,"{spouse: line.last_name, daughter: line.first_name}"
210,Meriel,Toni,0,"Toni,Toni,Toni",3,"{spouse: line.last_name, daughter: line.first_name}"
211,Fawne,Wu,0,"Wu,Wu,Wu",1,"{spouse: line.last_name, daughter: line.first_name}"
212,Caryl,Bertold,1,"Bertold,Bertold,Bertold",3,"{spouse: line.last_name, daughter: line.first_name}"
213,Clo,Ovid,1,"Ovid,Ovid,Ovid",2,"{spouse: line.last_name, daughter: line.first_name}"
214,Dolli,Jess,0,"Jess,Jess,Jess",2,"{spouse: line.last_name, daughter: line.first_name}"
215,Kary,Vilma,1,"Vilma,Vilma,Vilma",1,"{spouse: line.last_name, daughter: line.first_name}"
216,Georgetta,Margret,1,"Margret,Margret,Margret",1,"{spouse: line.last_name, daughter: line.first_name}"
217,Dania,Chesna,1,"Chesna,Chesna,Chesna",2,"{spouse: line.last_name, daughter: line.first_name}"
218,Kassey,Jaylene,1,"Jaylene,Jaylene,Jaylene",1,"{spouse: line.last_name, daughter: line.first_name}"
219,Daphne,Fosque,1,"Fosque,Fosque,Fosque",0,"{spouse: line.last_name, daughter: line.first_name}"
220,Hope,Ehrman,1,"Ehrman,Ehrman,Ehrman",3,"{spouse: line.last_name, daughter: line.first_name}"
221,Tori,Taima,1,"Taima,Taima,Taima",1,"{spouse: line.last_name, daughter: line.first_name}"
222,Kenna,Ramona,1,"Ramona,Ramona,Ramona",0,"{spouse: line.last_name, daughter: line.first_name}"
223,Arlina,Hirsch,0,"Hirsch,Hirsch,Hirsch",0,"{spouse: line.last_name, daughter: line.first_name}"
224,Steffane,Mehalek,0,"Mehalek,Mehalek,Mehalek",1,"{spouse: line.last_name, daughter: line.first_name}"
225,Odessa,Kiyoshi,1,"Kiyoshi,Kiyoshi,Kiyoshi",1,"{spouse: line.last_name, daughter: line.first_name}"
226,Leona,Bennie,1,"Bennie,Bennie,Bennie",1,"{spouse: line.last_name, daughter: line.first_name}"
227,Asia,Felecia,0,"Felecia,Felecia,Felecia",2,"{spouse: line.last_name, daughter: line.first_name}"
228,Renae,Pozzy,0,"Pozzy,Pozzy,Pozzy",1,"{spouse: line.last_name, daughter: line.first_name}"
229,Stacey,Sibyls,1,"Sibyls,Sibyls,Sibyls",2,"{spouse: line.last_name, daughter: line.first_name}"
230,Jordan,Donoghue,1,"Donoghue,Donoghue,Donoghue",0,"{spouse: line.last_name, daughter: line.first_name}"
231,Melina,Tound,1,"Tound,Tound,Tound",0,"{spouse: line.last_name, daughter: line.first_name}"
232,Bibby,Shanley,0,"Shanley,Shanley,Shanley",2,"{spouse: line.last_name, daughter: line.first_name}"
233,Libbie,Jenness,0,"Jenness,Jenness,Jenness",0,"{spouse: line.last_name, daughter: line.first_name}"
234,Janeczka,Poll,0,"Poll,Poll,Poll",2,"{spouse: line.last_name, daughter: line.first_name}"
235,Dawn,Horan,0,"Horan,Horan,Horan",2,"{spouse: line.last_name, daughter: line.first_name}"
236,Melodie,Moseley,1,"Moseley,Moseley,Moseley",1,"{spouse: line.last_name, daughter: line.first_name}"
237,Raf,Magdalen,1,"Magdalen,Magdalen,Magdalen",0,"{spouse: line.last_name, daughter: line.first_name}"
238,Diena,Lewes,0,"Lewes,Lewes,Lewes",0,"{spouse: line.last_name, daughter: line.first_name}"
239,Adore,Anis,1,"Anis,Anis,Anis",1,"{spouse: line.last_name, daughter: line.first_name}"
240,Mireielle,Gabrielli,1,"Gabrielli,Gabrielli,Gabrielli",0,"{spouse: line.last_name, daughter: line.first_name}"
241,Rebeca,Chauncey,1,"Chauncey,Chauncey,Chauncey",1,"{spouse: line.last_name, daughter: line.first_name}"
242,Dianemarie,Knowling,0,"Knowling,Knowling,Knowling",2,"{spouse: line.last_name, daughter: line.first_name}"
243,Mamie,Phi,1,"Phi,Phi,Phi",0,"{spouse: line.last_name, daughter: line.first_name}"
244,Ofilia,Kolnick,0,"Kolnick,Kolnick,Kolnick",3,"{spouse: line.last_name, daughter: line.first_name}"
245,Amalie,Ariella,1,"Ariella,Ariella,Ariella",3,"{spouse: line.last_name, daughter: line.first_name}"
246,Tarra,Iphlgenia,0,"Iphlgenia,Iphlgenia,Iphlgenia",3,"{spouse: line.last_name, daughter: line.first_name}"
247,Meg,Phi,1,"Phi,Phi,Phi",3,"{spouse: line.last_name, daughter: line.first_name}"
248,Zondra,Verger,0,"Verger,Verger,Verger",3,"{spouse: line.last_name, daughter: line.first_name}"
249,Cherrita,Maxi,0,"Maxi,Maxi,Maxi",2,"{spouse: line.last_name, daughter: line.first_name}"
250,Kial,Hourigan,1,"Hourigan,Hourigan,Hourigan",2,"{spouse: line.last_name, daughter: line.first_name}"
251,Mariele,Hartnett,0,"Hartnett,Hartnett,Hartnett",3,"{spouse: line.last_name, daughter: line.first_name}"
252,Goldie,Braun,0,"Braun,Braun,Braun",1,"{spouse: line.last_name, daughter: line.first_name}"
253,Clarice,Ciro,1,"Ciro,Ciro,Ciro",3,"{spouse: line.last_name, daughter: line.first_name}"
254,Trudie,Eliathas,0,"Eliathas,Eliathas,Eliathas",2,"{spouse: line.last_name, daughter: line.first_name}"
255,Tybie,Nadia,0,"Nadia,Nadia,Nadia",3,"{spouse: line.last_name, daughter: line.first_name}"
256,Mariann,Fabiola,1,"Fabiola,Fabiola,Fabiola",0,"{spouse: line.last_name, daughter: line.first_name}"
257,Ivett,Pyle,0,"Pyle,Pyle,Pyle",1,"{spouse: line.last_name, daughter: line.first_name}"
258,Rayna,Mott,0,"Mott,Mott,Mott",1,"{spouse: line.last_name, daughter: line.first_name}"
259,Annabela,Eliathas,1,"Eliathas,Eliathas,Eliathas",3,"{spouse: line.last_name, daughter: line.first_name}"
260,Valera,Egbert,0,"Egbert,Egbert,Egbert",1,"{spouse: line.last_name, daughter: line.first_name}"
261,Gisela,Goldina,1,"Goldina,Goldina,Goldina",1,"{spouse: line.last_name, daughter: line.first_name}"
262,Angelique,Franza,0,"Franza,Franza,Franza",2,"{spouse: line.last_name, daughter: line.first_name}"
263,Carmencita,Barrus,0,"Barrus,Barrus,Barrus",2,"{spouse: line.last_name, daughter: line.first_name}"
264,Jere,Flyn,0,"Flyn,Flyn,Flyn",0,"{spouse: line.last_name, daughter: line.first_name}"
265,Janis,Deegan,0,"Deegan,Deegan,Deegan",2,"{spouse: line.last_name, daughter: line.first_name}"
266,Xylina,Wenoa,0,"Wenoa,Wenoa,Wenoa",3,"{spouse: line.last_name, daughter: line.first_name}"
267,Glenda,Jillane,0,"Jillane,Jillane,Jillane",1,"{spouse: line.last_name, daughter: line.first_name}"
268,Nerta,Gerge,0,"Gerge,Gerge,Gerge",0,"{spouse: line.last_name, daughter: line.first_name}"
269,Agathe,Cleavland,1,"Cleavland,Cleavland,Cleavland",3,"{spouse: line.last_name, daughter: line.first_name}"
270,Mara,Penelopa,1,"Penelopa,Penelopa,Penelopa",0,"{spouse: line.last_name, daughter: line.first_name}"
271,Zsa Zsa,Amadas,0,"Amadas,Amadas,Amadas",3,"{spouse: line.last_name, daughter: line.first_name}"
272,Talya,Raffo,1,"Raffo,Raffo,Raffo",2,"{spouse: line.last_name, daughter: line.first_name}"
273,Nariko,Fulmer,0,"Fulmer,Fulmer,Fulmer",3,"{spouse: line.last_name, daughter: line.first_name}"
274,Morganica,Lia,0,"Lia,Lia,Lia",3,"{spouse: line.last_name, daughter: line.first_name}"
275,Alex,Anyah,0,"Anyah,Anyah,Anyah",1,"{spouse: line.last_name, daughter: line.first_name}"
276,Fayre,Milson,0,"Milson,Milson,Milson",2,"{spouse: line.last_name, daughter: line.first_name}"
277,Maryellen,Liva,1,"Liva,Liva,Liva",1,"{spouse: line.last_name, daughter: line.first_name}"
278,Allyce,Quent,0,"Quent,Quent,Quent",3,"{spouse: line.last_name, daughter: line.first_name}"
279,Keelia,Anselmi,0,"Anselmi,Anselmi,Anselmi",0,"{spouse: line.last_name, daughter: line.first_name}"
280,Chickie,Rurik,0,"Rurik,Rurik,Rurik",0,"{spouse: line.last_name, daughter: line.first_name}"
281,Delilah,Oscar,0,"Oscar,Oscar,Oscar",2,"{spouse: line.last_name, daughter: line.first_name}"
282,Candy,Bord,1,"Bord,Bord,Bord",1,"{spouse: line.last_name, daughter: line.first_name}"
283,Emmey,Sibyls,0,"Sibyls,Sibyls,Sibyls",2,"{spouse: line.last_name, daughter: line.first_name}"
284,Johna,Standing,1,"Standing,Standing,Standing",3,"{spouse: line.last_name, daughter: line.first_name}"
285,Pollyanna,Kimmie,1,"Kimmie,Kimmie,Kimmie",2,"{spouse: line.last_name, daughter: line.first_name}"
286,Rosaline,Joni,0,"Joni,Joni,Joni",2,"{spouse: line.last_name, daughter: line.first_name}"
287,Marylou,Autrey,0,"Autrey,Autrey,Autrey",1,"{spouse: line.last_name, daughter: line.first_name}"
288,Diena,Aprile,0,"Aprile,Aprile,Aprile",1,"{spouse: line.last_name, daughter: line.first_name}"
289,Edee,Skurnik,1,"Skurnik,Skurnik,Skurnik",3,"{spouse: line.last_name, daughter: line.first_name}"
290,Lorie,Odysseus,0,"Odysseus,Odysseus,Odysseus",0,"{spouse: line.last_name, daughter: line.first_name}"
291,Vivia,Giule,0,"Giule,Giule,Giule",1,"{spouse: line.last_name, daughter: line.first_name}"
292,Sam,Ursulette,0,"Ursulette,Ursulette,Ursulette",2,"{spouse: line.last_name, daughter: line.first_name}"
293,Cecile,Joni,1,"Joni,Joni,Joni",0,"{spouse: line.last_name, daughter: line.first_name}"
294,Jan,Matthew,0,"Matthew,Matthew,Matthew",2,"{spouse: line.last_name, daughter: line.first_name}"
295,Robinia,Adlare,1,"Adlare,Adlare,Adlare",0,"{spouse: line.last_name, daughter: line.first_name}"
296,Aili,Judye,0,"Judye,Judye,Judye",2,"{spouse: line.last_name, daughter: line.first_name}"
297,Lyssa,Bigner,1,"Bigner,Bigner,Bigner",0,"{spouse: line.last_name, daughter: line.first_name}"
298,Kimmy,Gabrielli,1,"Gabrielli,Gabrielli,Gabrielli",3,"{spouse: line.last_name, daughter: line.first_name}"
299,Tami,Stevy,0,"Stevy,Stevy,Stevy",3,"{spouse: line.last_name, daughter: line.first_name}"
300,Linet,Bettine,1,"Bettine,Bettine,Bettine",3,"{spouse: line.last_name, daughter: line.first_name}"
301,Cathie,Bultman,0,"Bultman,Bultman,Bultman",1,"{spouse: line.last_name, daughter: line.first_name}"
302,Eve,Erich,1,"Erich,Erich,Erich",1,"{spouse: line.last_name, daughter: line.first_name}"
303,Caressa,Berard,1,"Berard,Berard,Berard",1,"{spouse: line.last_name, daughter: line.first_name}"
304,Berta,Honoria,1,"Honoria,Honoria,Honoria",3,"{spouse: line.last_name, daughter: line.first_name}"
305,Korrie,Mathilde,1,"Mathilde,Mathilde,Mathilde",1,"{spouse: line.last_name, daughter: line.first_name}"
306,Leia,Rheingold,0,"Rheingold,Rheingold,Rheingold",1,"{spouse: line.last_name, daughter: line.first_name}"
307,Joeann,Sallyann,0,"Sallyann,Sallyann,Sallyann",2,"{spouse: line.last_name, daughter: line.first_name}"
308,Lanna,Dielu,0,"Dielu,Dielu,Dielu",3,"{spouse: line.last_name, daughter: line.first_name}"
309,Winny,Tacye,0,"Tacye,Tacye,Tacye",1,"{spouse: line.last_name, daughter: line.first_name}"
310,Nickie,Nedrud,1,"Nedrud,Nedrud,Nedrud",2,"{spouse: line.last_name, daughter: line.first_name}"
311,Jere,Cecile,1,"Cecile,Cecile,Cecile",0,"{spouse: line.last_name, daughter: line.first_name}"
312,Ernesta,Saree,1,"Saree,Saree,Saree",3,"{spouse: line.last_name, daughter: line.first_name}"
313,Kirbee,Joli,1,"Joli,Joli,Joli",1,"{spouse: line.last_name, daughter: line.first_name}"
314,Raquela,Jobi,1,"Jobi,Jobi,Jobi",2,"{spouse: line.last_name, daughter: line.first_name}"
315,Rani,Ciro,0,"Ciro,Ciro,Ciro",2,"{spouse: line.last_name, daughter: line.first_name}"
316,Myrtice,Thar,0,"Thar,Thar,Thar",2,"{spouse: line.last_name, daughter: line.first_name}"
317,Amalie,Flyn,1,"Flyn,Flyn,Flyn",3,"{spouse: line.last_name, daughter: line.first_name}"
318,Gwenneth,Carmena,1,"Carmena,Carmena,Carmena",2,"{spouse: line.last_name, daughter: line.first_name}"
319,Kellen,Hortensia,1,"Hortensia,Hortensia,Hortensia",3,"{spouse: line.last_name, daughter: line.first_name}"
320,Jorry,Marlie,1,"Marlie,Marlie,Marlie",0,"{spouse: line.last_name, daughter: line.first_name}"
321,Atlanta,Raama,0,"Raama,Raama,Raama",3,"{spouse: line.last_name, daughter: line.first_name}"
322,Myriam,Birdella,1,"Birdella,Birdella,Birdella",0,"{spouse: line.last_name, daughter: line.first_name}"
323,Jobi,Beebe,1,"Beebe,Beebe,Beebe",0,"{spouse: line.last_name, daughter: line.first_name}"
324,Gilligan,Vivle,1,"Vivle,Vivle,Vivle",3,"{spouse: line.last_name, daughter: line.first_name}"
325,Edyth,Corilla,1,"Corilla,Corilla,Corilla",1,"{spouse: line.last_name, daughter: line.first_name}"
326,Carmencita,Woodberry,0,"Woodberry,Woodberry,Woodberry",1,"{spouse: line.last_name, daughter: line.first_name}"
327,Leontine,Eugenia,1,"Eugenia,Eugenia,Eugenia",0,"{spouse: line.last_name, daughter: line.first_name}"
328,Molli,Hewitt,1,"Hewitt,Hewitt,Hewitt",0,"{spouse: line.last_name, daughter: line.first_name}"
329,Liana,Corrine,1,"Corrine,Corrine,Corrine",2,"{spouse: line.last_name, daughter: line.first_name}"
330,Tina,Zenas,1,"Zenas,Zenas,Zenas",1,"{spouse: line.last_name, daughter: line.first_name}"
331,Louella,Justinn,0,"Justinn,Justinn,Justinn",2,"{spouse: line.last_name, daughter: line.first_name}"
332,Carly,Lorenz,0,"Lorenz,Lorenz,Lorenz",2,"{spouse: line.last_name, daughter: line.first_name}"
333,Letizia,Elephus,0,"Elephus,Elephus,Elephus",2,"{spouse: line.last_name, daughter: line.first_name}"
334,Gloria,Stuart,1,"Stuart,Stuart,Stuart",3,"{spouse: line.last_name, daughter: line.first_name}"
335,Demetris,Ferrell,0,"Ferrell,Ferrell,Ferrell",3,"{spouse: line.last_name, daughter: line.first_name}"
336,Orsola,Arathorn,0,"Arathorn,Arathorn,Arathorn",3,"{spouse: line.last_name, daughter: line.first_name}"
337,Chandra,Warthman,0,"Warthman,Warthman,Warthman",3,"{spouse: line.last_name, daughter: line.first_name}"
338,Margalo,Vacuva,0,"Vacuva,Vacuva,Vacuva",1,"{spouse: line.last_name, daughter: line.first_name}"
339,Harmonia,Elo,1,"Elo,Elo,Elo",0,"{spouse: line.last_name, daughter: line.first_name}"
340,Anallese,Clie,1,"Clie,Clie,Clie",2,"{spouse: line.last_name, daughter: line.first_name}"
341,Imojean,Sigfrid,0,"Sigfrid,Sigfrid,Sigfrid",0,"{spouse: line.last_name, daughter: line.first_name}"
342,Dorthy,Pacorro,1,"Pacorro,Pacorro,Pacorro",3,"{spouse: line.last_name, daughter: line.first_name}"
343,Alyda,Brittani,1,"Brittani,Brittani,Brittani",3,"{spouse: line.last_name, daughter: line.first_name}"
344,Marleah,Tatianas,0,"Tatianas,Tatianas,Tatianas",3,"{spouse: line.last_name, daughter: line.first_name}"
345,Katuscha,Charity,1,"Charity,Charity,Charity",0,"{spouse: line.last_name, daughter: line.first_name}"
346,Aimil,Sheng,1,"Sheng,Sheng,Sheng",1,"{spouse: line.last_name, daughter: line.first_name}"
